,mAbA7batch1-1a_1_C2,mAbA7batch1-1a_2_C2,mAbA9batch3-1_1_C2,mAbA9batch3-1_2_C2,mAbC1batch2-1_2_C2,mAbC1batch2-1_1_C2,mAbC3batch1-2_1_C2,mAbC3batch1-2_2_C2
corona2_12770,3.0601808660947634,2.197133672452721,2.1638734266965103,1.7783501323752209,1.7602261816289828,2.695759926501318,3.221731193236308,1.5374219450959858
corona2_7625,3.0576074940453344,2.5448724373317777,2.607577435830272,0.9448874960650472,2.7572913839764905,2.3384302698944586,1.9536102228993169,1.8470741133491824
corona2_5839,3.0354890787669837,2.082457387745859,2.2783280808400064,2.446415022739475,2.377885208593437,1.804816090261373,0.17633655917839006,2.446092797220685
corona2_7056,3.0242531775500763,1.7541810527819544,0.3362999341920048,1.1735665918954614,0.4507889320978121,0.8068165654729105,1.0886792182158431,0.5691228554773666
corona2_9055,3.0234040877201767,2.302570890802851,1.6213939903094006,1.98380322183798,1.0563686961990901,2.3306761835280256,1.6767603384723306,0.7687128673723724
corona2_9335,3.0063050400161027,2.675763506378301,1.3604637228703398,1.3019883609221463,2.4971136631615094,1.721866563827941,2.625487819395913,0.7955284133071036
corona2_13015,2.963147641107469,1.8365878174756611,0.5423306071694534,2.3442612789615827,1.8454168692173696,1.4990720963759843,1.387594879003472,0.7736056838156493
corona2_7755,2.954299125482484,1.7837341868786614,0.3557460644290841,0.5913185173711232,0.7605743836565032,0.3282012197460311,0.5068256046166901,1.0984037149420267
corona2_6471,2.934199596664841,1.3555768129981751,1.5221369039581587,1.0803636370339789,1.5302365126985917,0.990513155862316,1.4484153558582742,0.14643485846786106
corona2_2122,2.9221483704905338,1.9681719189033315,0.4608482694981702,0.2069438967584383,0.44995716085681264,0.6055428195648164,0.400194521169776,0.6114022614816101
corona2_11621,2.9085670587669297,0.9850614268933812,2.604095963216292,1.913832654878633,1.4755642851351585,1.0623990273679655,2.0742552426768315,1.6327567107108536
corona2_1766,2.893817784183633,2.4978426168570955,0.5150359405424265,0.6279524404816568,0.7174071701576732,0.6706953449282347,0.31776547351301315,0.4867887107275883
corona2_8646,2.8906350760459087,2.7984780476681768,1.732479639052556,1.8905482961700717,2.136155147352924,1.7546709432088985,3.047653301409232,1.7451593983879925
corona2_8320,2.8867284813404384,1.6221426028160584,0.30350896373770664,0.9226026244808504,0.8971616843475629,0.7027375634301127,0.17633655917839006,0.917276361634884
corona2_11620,2.8666362918879997,2.570386009492033,2.4433365859207887,2.7467200572581363,1.5923015646042251,1.1526005821766037,2.0915432377849523,1.390459251338673
